# Constructed from biom file
#OTU ID	SCSL1	SCSL2	SCSL3	HNSPL21	LDL37	LDL38	MGLL6	SCBL22	SCBL23	SCBL24	SCML31	SCML32	SCML33	SCQGL34	SCQGL35	SCSPL12	SCSPL13	SCSPL14	SXBL40	SXBL41	SXBL42	SXSPL17	SXSPL18	WHSPL27	WHSPL28	WHSPL29	LDL39	SXSPL16	HNSPL19	MGLL4	SCQGL36	HNSPL20	MGLL5
otu00033	2.0	3.0	0.0	1.0	270.0	51.0	115.0	3.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	14.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	1.0	300.0	1.0	0.0	34.0
otu00034	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	27.0	17.0	0.0	0.0	0.0	0.0	6.0	2.0	0.0	0.0	301.0	268.0	8.0	0.0	0.0	0.0	2.0	10.0	0.0	40.0	0.0	0.0	0.0	0.0	0.0
otu00035	7.0	15.0	2.0	0.0	1.0	4.0	91.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	47.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	212.0
otu00036	0.0	2.0	0.0	13.0	131.0	23.0	2.0	5.0	12.0	12.0	1.0	0.0	0.0	73.0	81.0	2.0	2.0	10.0	54.0	22.0	1.0	3.0	17.0	0.0	141.0	103.0	5.0	17.0	16.0	3.0	15.0	10.0	0.0
otu00037	0.0	0.0	0.0	1.0	28.0	36.0	8.0	0.0	2.0	1.0	0.0	0.0	0.0	3.0	8.0	0.0	370.0	1.0	3.0	6.0	1.0	1.0	1.0	0.0	0.0	2.0	12.0	33.0	13.0	14.0	8.0	11.0	3.0
otu00038	8.0	7.0	3.0	13.0	4.0	0.0	16.0	0.0	4.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	138.0	172.0	1.0	102.0	5.0
otu00039	0.0	0.0	0.0	0.0	763.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	43.0	2.0	0.0	0.0
otu00040	3.0	1.0	0.0	0.0	83.0	54.0	78.0	1.0	1.0	2.0	0.0	0.0	0.0	1.0	16.0	0.0	0.0	3.0	18.0	1.0	0.0	0.0	0.0	21.0	0.0	91.0	21.0	3.0	0.0	152.0	1.0	1.0	30.0
otu00041	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	263.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
otu00042	0.0	2.0	3.0	4.0	86.0	9.0	2.0	6.0	23.0	17.0	0.0	0.0	2.0	23.0	91.0	0.0	6.0	1.0	33.0	22.0	0.0	5.0	15.0	1.0	22.0	21.0	2.0	15.0	24.0	0.0	76.0	20.0	0.0
otu00043	3.0	2.0	1.0	0.0	68.0	10.0	98.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	4.0	0.0	2.0	1.0	39.0	5.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	5.0	3.0	170.0	4.0	1.0	41.0
otu00044	5.0	1.0	1.0	0.0	8.0	8.0	107.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	10.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	154.0	2.0	0.0	70.0
otu00045	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	223.0	29.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	196.0	0.0	0.0
otu00046	6.0	17.0	263.0	0.0	0.0	0.0	8.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	19.0	0.0	1.0	2.0
otu00047	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	3.0	224.0	0.0	0.0	0.0	0.0	3.0	0.0	147.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	4.0	4.0	2.0	0.0
otu00048	0.0	0.0	0.0	1.0	9.0	0.0	1.0	2.0	178.0	12.0	1.0	0.0	2.0	9.0	47.0	0.0	0.0	6.0	0.0	0.0	0.0	2.0	0.0	5.0	29.0	20.0	0.0	5.0	3.0	0.0	19.0	6.0	0.0
otu00049	3.0	3.0	6.0	0.0	8.0	43.0	12.0	6.0	8.0	5.0	0.0	0.0	0.0	40.0	48.0	0.0	1.0	0.0	14.0	0.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	105.0	57.0	0.0	15.0
otu00050	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	20.0	19.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	158.0	126.0	3.0	0.0	0.0	0.0	1.0	8.0	1.0	29.0	0.0	0.0	1.0	0.0	0.0
otu00051	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	181.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	175.0	0.0	0.0
otu00052	0.0	0.0	0.0	0.0	1.0	438.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	1.0	0.0
otu00053	0.0	0.0	1.0	15.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	95.0	117.0	1.0	62.0	0.0
otu00054	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	159.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	175.0	0.0	0.0
otu00055	2.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	7.0	164.0	121.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	10.0	3.0	0.0	1.0	8.0	0.0
otu00056	0.0	2.0	0.0	13.0	28.0	100.0	9.0	2.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	1.0	2.0	5.0	1.0	0.0	1.0	5.0	1.0	10.0	19.0	0.0	61.0	53.0	1.0	35.0	2.0
otu00057	0.0	0.0	0.0	0.0	9.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	294.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	17.0	0.0	3.0	2.0	0.0	2.0
otu00058	0.0	0.0	0.0	0.0	17.0	0.0	1.0	0.0	1.0	298.0	1.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otu00059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	137.0	22.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0
otu00060	0.0	0.0	0.0	11.0	3.0	1.0	0.0	35.0	1.0	3.0	37.0	32.0	28.0	1.0	1.0	33.0	11.0	0.0	0.0	0.0	36.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
otu00061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	17.0	12.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	115.0	91.0	0.0	0.0	0.0	1.0	1.0	9.0	4.0	21.0	0.0	0.0	0.0	0.0	0.0
otu00062	0.0	0.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	96.0	392.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0
otu00063	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	110.0	67.0	0.0	2.0	2.0	0.0	16.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	49.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
otu00064	0.0	0.0	0.0	1.0	0.0	24.0	0.0	5.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	89.0	293.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0
otu00065	40.0	101.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
otu00066	1.0	0.0	228.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
otu00067	0.0	0.0	0.0	1.0	70.0	8.0	0.0	5.0	6.0	14.0	0.0	0.0	0.0	36.0	28.0	0.0	0.0	5.0	14.0	8.0	0.0	1.0	7.0	0.0	43.0	27.0	1.0	10.0	4.0	0.0	20.0	8.0	0.0
